Name,Type,Quantity,Attachments,Value,Total Value
Song Binder,Book,1,2018-05-17 15.45.43.jpg (https://dl.airtable.com/GGqJRJeRCyhLQwfAooIW_camera.jpg),$4,$4
Notebook,Book,1,2018-05-17 15.46.40.jpg (https://dl.airtable.com/EwyvYmjSXSmSJcJhLjEg_camera.jpg),$1,$1
Wedding Photos,Book,1,2018-05-17 15.47.14.jpg (https://dl.airtable.com/pX9XaadHSYVeRZVezEuL_camera.jpg),$2,$2
Music Binder,Book,1,2018-05-17 16.13.47.jpg (https://dl.airtable.com/kSavor8QRTG7dw25CAzU_camera.jpg),$4,$4
The Handbook of Baby Names,Book,1,2018-05-17 16.56.12.jpg (https://dl.airtable.com/LyAgVLZATEiW2OfJp6Jo_camera.jpg),$5,$5
Feynman Lectures on Physics,Book,3,2018-05-17 17.00.05.jpg (https://dl.airtable.com/pWL08FM8R1ijwXuKUiCh_camera.jpg),$50,$150
Assorted Books,Book,15,2018-05-17 17.01.46.jpg (https://dl.airtable.com/cf84OsJmQaGZ87btUv08_camera.jpg),$2,$30
Assorted Books,Book,25,2018-05-17 17.03.07.jpg (https://dl.airtable.com/2gTXCvdTMa1kKPM1ge2K_camera.jpg),$2,$50
Whitewater Cookbook,Book,2,2018-05-18 14.46.48.jpg (https://dl.airtable.com/2yAZRjfFSjmAdlR6jIbS_camera.jpg),$15,$30
Sri Lankan Skirt,Clothing,1,2018-05-17 15.44.43.jpg (https://dl.airtable.com/AderRZzkQib9t80LprKg_camera.jpg),$2,$2
Hats,Clothing,4,2018-05-17 16.50.39.jpg (https://dl.airtable.com/9poaU7GFT2aHoucDYWQL_camera.jpg),$5,$20
Clothing Alex,Clothing,50,"2018-05-17 16.53.22.jpg (https://dl.airtable.com/87aML9VSHyrRm0SZZOuJ_camera.jpg),2018-05-17 16.53.28.jpg (https://dl.airtable.com/vD9Ms09gTP6tiQVZOCiP_camera.jpg)",$2,$100
Hangers,Clothing,50,2018-05-17 16.54.06.jpg (https://dl.airtable.com/htxTfpAdTi6oDMGxVaQg_camera.jpg),$0,$13
Shoes,Clothing,3,2018-05-17 16.55.13.jpg (https://dl.airtable.com/9uKrtyYSQ86ApuUHu2U4_camera.jpg),$15,$45
Male Suits,Clothing,4,2018-05-17 17.37.51.jpg (https://dl.airtable.com/ubTKi48WSJWVBVl1eVTo_camera.jpg),$200,$800
Male’s clothing,Clothing,50,2018-05-17 17.38.31.jpg (https://dl.airtable.com/AkdrQhZlQuxSMY5ffzhy_camera.jpg),$5,$250
Clothing,Clothing,30,2018-05-17 17.42.09.jpg (https://dl.airtable.com/ltfi0poTDWLQRh0GpiVA_camera.jpg),$10,$300
Umbrella,Clothing,1,2018-05-17 19.18.17.jpg (https://dl.airtable.com/B6lAwaJ6S2SFRpqcevsU_camera.jpg),$10,$10
Dresses and Costumes,Clothing,15,2018-05-17 19.19.11.jpg (https://dl.airtable.com/yYx6KQmQBCGco9S76roI_camera.jpg),$10,$150
Dresses and Gowns,Clothing,15,2018-05-17 19.21.36.jpg (https://dl.airtable.com/IjayCDD3Rs6ORWcWoiag_camera.jpg),$10,$150
Assorted Baby Clothes,Clothing,40,2018-05-17 19.24.40.jpg (https://dl.airtable.com/7MUtTKARG6zYAhRihoCK_camera.jpg),$5,$200
Assorted Baby Clothing,Clothing,40,2018-05-17 19.26.04.jpg (https://dl.airtable.com/CsqOIQOBQjyTelpOlzQc_camera.jpg),$5,$200
Farwa Saudi Cloak,Clothing,2,2018-05-17 19.59.21.jpg (https://dl.airtable.com/nZMySnfSSOQPzbxXoqQF_camera.jpg),$25,$50
Calvin Klein Winter Jacket,Clothing,1,2018-05-18 15.02.11.jpg (https://dl.airtable.com/p3OVlTXiTY6K7peIqZAk_camera.jpg),$100,$100
Winter Gloves,Clothing,3,2018-05-18 15.12.26.jpg (https://dl.airtable.com/Dppw7WhJQzyWhxs4paPV_camera.jpg),$2,$6
Men’s Shoes,Clothing,6,2018-05-18 15.20.52.jpg (https://dl.airtable.com/JxHaquHlTpGBcsMq2gBg_camera.jpg),$20,$120
Shoe Polish Kit,Clothing,1,2018-05-20 20.24.07.jpg (https://dl.airtable.com/Rxc4n4vJQ0WTMb78kmvz_camera.jpg),$30,$30
Power Cable,Electronics,1,2018-05-17 15.36.02.jpg (https://dl.airtable.com/TCr5t2jWT6aYcT54ay5i_camera.jpg),$5,$5
Apple Pencil Accessories,Electronics,1,2018-05-17 15.38.13.jpg (https://dl.airtable.com/GxAaEDZsRbiBUaUVPPxV_camera.jpg),$1,$1
Power Strip,Electronics,1,2018-05-17 16.14.27.jpg (https://dl.airtable.com/QVxGqQXS9etR4KVLAGbJ_camera.jpg),$15,$15
USB Harddrive,Electronics,1,2018-05-17 16.20.09.jpg (https://dl.airtable.com/r3fF2AsaS0ei1bLbyLbR_camera.jpg),$10,$10
USB Harddrive,Electronics,1,2018-05-17 16.29.19.jpg (https://dl.airtable.com/rVtUvOLfQCWz63sMheUu_camera.jpg),$10,$10
Apple Airport Express,Electronics,1,2018-05-17 16.31.48.jpg (https://dl.airtable.com/bNbsX3JgSM2wmPPxhOQd_camera.jpg),$50,$50
Label Maker,Electronics,1,2018-05-17 16.32.30.jpg (https://dl.airtable.com/mJTqpA1WRJSKZI4LrYPN_camera.jpg),$30,$30
Accessories,Electronics,30,2018-05-17 16.34.14.jpg (https://dl.airtable.com/5PiKSDVgT6exhrQQ7Gzj_camera.jpg),$1,$15
Power Transformer,Electronics,3,2018-05-17 16.36.02.jpg (https://dl.airtable.com/CG3aMQq3Ra2Ffayu4cKa_camera.jpg),$50,$150
Network Cables,Electronics,10,2018-05-17 17.04.29.jpg (https://dl.airtable.com/Y08CgAmJRnWcgr6WWjmX_camera.jpg),$2,$20
Dyson Humidifier,Electronics,1,2018-05-18 14.39.27.jpg (https://dl.airtable.com/o5tplpVT5ydXsZSbZCAj_camera.jpg),$350,$350
DVD Burner,Electronics,1,2018-05-18 15.21.30.jpg (https://dl.airtable.com/TBAzwt3mQVNeIERYf5Cg_camera.jpg),$30,$30
Eve Room and Door Monitor,Electronics,2,2018-05-18 15.35.00.jpg (https://dl.airtable.com/UoA5dzmiSrmy8ZZoTrk4_camera.jpg),$25,$50
Stone Hot Plate,Furnishing,1,2018-05-17 15.44.15.jpg (https://dl.airtable.com/EliZIzH6QiKnxGZ2sEJQ_camera.jpg),$2,$2
Pillows,Furnishing,4,2018-05-17 17.40.14.jpg (https://dl.airtable.com/tCMpqaJQeSgaygTLNic3_camera.jpg),$10,$40
Photo Frame,Furnishing,1,2018-05-17 19.17.39.jpg (https://dl.airtable.com/WCO1rpFHRjSRIT2q7js0_camera.jpg),$4,$4
Sheep Skin,Furnishing,2,2018-05-17 19.29.19.jpg (https://dl.airtable.com/eWMFZcHjRwGZ3tF0G4Vp_camera.jpg),$20,$40
Cow Skin,Furnishing,1,2018-05-17 19.30.32.jpg (https://dl.airtable.com/wblNuyQ2iausQz06I8A9_camera.jpg),$50,$50
Blanket Rug,Furnishing,1,2018-05-17 19.38.37.jpg (https://dl.airtable.com/P3IT6JtmSyioTa5HrHq7_camera.jpg),$50,$50
Fake Plants,Furnishing,7,,$5,$35
Saudi Pillows,Furnishing,2,2018-05-17 20.00.07.jpg (https://dl.airtable.com/muC1f9xLQYCdV7c6gv9k_camera.jpg),$5,$10
Pillows,Furnishing,3,2018-05-17 20.04.15.jpg (https://dl.airtable.com/85uJxPtbQlKRhUVuHp8n_camera.jpg),$2,$6
Pottery Items,Furnishing,3,2018-05-17 20.05.01.jpg (https://dl.airtable.com/2MNeT1DlT36HPviHwoC7_camera.jpg),$5,$15
Saudi Lamp,Furnishing,1,2018-05-17 20.05.55.jpg (https://dl.airtable.com/RIATvhROSGrm81E8MXhH_camera.jpg),$10,$10
Photo Frames,Furnishing,2,2018-05-17 20.06.20.jpg (https://dl.airtable.com/cMr3S2t9RQOK1BmYdooJ_camera.jpg),$5,$10
Saudi Rug,Furnishing,1,2018-05-17 20.06.58.jpg (https://dl.airtable.com/KN1eCHNfS6ZvPYo60qni_camera.jpg),$300,$300
Saudi Decorations,Furnishing,6,2018-05-17 20.07.38.jpg (https://dl.airtable.com/4gHkK3ZR2WHAnI1lXjVQ_camera.jpg),$5,$30
Pillows,Furnishing,2,2018-05-18 14.27.46.jpg (https://dl.airtable.com/pd4sn8ETtuL9LhTo8IOk_camera.jpg),$4,$8
Foot Stool,Furnishing,1,2018-05-18 14.28.14.jpg (https://dl.airtable.com/1jN4AVPyRoq5YUEySPDy_camera.jpg),$20,$20
Bed Spread,Furnishing,1,2018-05-18 14.28.44.jpg (https://dl.airtable.com/dHvht7ALQzWQAAtlYS2a_camera.jpg),$150,$150
Serving Plate,Furnishing,1,2018-05-18 14.47.17.jpg (https://dl.airtable.com/ghjh7oaMSbeTyzVuRbHW_camera.jpg),$4,$4
Room Furnishing,Furnishing,1,2018-05-18 14.51.14.jpg (https://dl.airtable.com/upXDrNTOT66jpg7fjaQo_camera.jpg),$20,$20
Fridge Magnet Set,Furnishing,1,2018-05-18 14.52.07.jpg (https://dl.airtable.com/9s0ydxwDRFOal9qTmLlS_camera.jpg),$5,$5
Arabic Rug,Furnishing,1,2018-05-18 14.52.56.jpg (https://dl.airtable.com/Hq7Wovg0QoSVVBEJFo0w_camera.jpg),$100,$100
Pots,Furnishing,4,"2018-05-18 15.14.16.jpg (https://dl.airtable.com/dIWE6rRWTS2uwbutHPly_camera.jpg),2018-05-18 15.14.27.jpg (https://dl.airtable.com/8RuuexArTcmA5RhwRvOC_camera.jpg),2018-05-18 15.14.32.jpg (https://dl.airtable.com/xmmKWlEzQwWnD482cZM0_camera.jpg),2018-05-18 15.14.40.jpg (https://dl.airtable.com/TyOGSesRlOVwLTNY9QKU_camera.jpg)",$4,$16
Fake Tree,Furnishing,2,"2018-05-18 15.15.22.jpg (https://dl.airtable.com/IBxo26IOT9yCLCR6H4zp_camera.jpg),2018-05-18 15.15.28.jpg (https://dl.airtable.com/ZSDxrt18RCai8DyZryvt_camera.jpg)",$5,$10
Saudi Rug,Furnishing,1,2018-05-18 15.16.10.jpg (https://dl.airtable.com/G1coqiYZT5CHY9c4AlC6_camera.jpg),$50,$50
Lazy boy Chair,Furnishing,1,2018-05-18 16.03.06.jpg (https://dl.airtable.com/5QSmfoXRG6J8lXguRQ2h_camera.jpg),$20,$20
Click and Grow System,Garden,1,2018-05-18 14.38.39.jpg (https://dl.airtable.com/2wVjuydBQCCKJBjp43Cz_camera.jpg),$50,$50
Party Items,Holiday Items,10,2018-05-17 20.00.44.jpg (https://dl.airtable.com/rMaa2mseRT6uI5tvRg2A_camera.jpg),$5,$50
Wooden Bowl,Kitchenware,1,2018-05-17 15.39.20.jpg (https://dl.airtable.com/jx5UVTSnyTTYhLr8qEgQ_camera.jpg),$4,$4
Wooden Spoons,Kitchenware,7,2018-05-17 15.40.55.jpg (https://dl.airtable.com/tzK27wnMT7WIaeiRkYDh_camera.jpg),$2,$14
Starbucks Mug Collection,Kitchenware,20,2018-05-18 14.48.46.jpg (https://dl.airtable.com/jeS2dcWnRXqFuEVEdrdX_camera.jpg),$10,$200
Spiralizer Food Processor,Kitchenware,1,2018-05-18 15.06.44.jpg (https://dl.airtable.com/CC5VhcYR1yYTuQBNb23A_camera.jpg),$25,$25
Bowl,Kitchenware,1,2018-05-18 15.10.01.jpg (https://dl.airtable.com/4SEwMDmJQWms5UORkzyb_camera.jpg),$5,$5
Recorder,Musical Instrument,2,2018-05-17 16.15.01.jpg (https://dl.airtable.com/RNlBIv4RfSqvbcq5CJXP_camera.jpg),$10,$20
ROLAND RP301SB DIGITAL PIANO,Musical Instrument,1,"2018-05-17 16.40.17.jpg (https://dl.airtable.com/SAFXgRfkSG65c0EEEO75_camera.jpg),2018-05-17 16.42.39.jpg (https://dl.airtable.com/JMZLWulwR1GkOgftrpNv_camera.jpg)",$400,$400
Drum Skins,Musical Instrument,5,2018-05-17 16.59.05.jpg (https://dl.airtable.com/ADvfmCPRtK3pTZnyg1Qm_camera.jpg),$5,$25
Drum set,Musical Instrument,1,2018-05-17 17.06.27.jpg (https://dl.airtable.com/g18VaUKoRie9Ei0lzkQS_camera.jpg),$500,$500
Roland El Cajon,Musical Instrument,1,2018-05-17 17.07.58.jpg (https://dl.airtable.com/gqW1c6BTLaxVT1oMGjsW_camera.jpg),$150,$150
Drum Throne,Musical Instrument,1,2018-05-17 17.14.25.jpg (https://dl.airtable.com/esBsPdrBTfOPYzDWlq7x_camera.jpg),$25,$25
Drumming Cymbals and Bag,Musical Instrument,5,2018-05-17 17.21.54.jpg (https://dl.airtable.com/Hb6MNnyzSwW1bhaSlkYP_camera.jpg),$40,$200
Iron Cobra Double Kick,Musical Instrument,1,2018-05-17 17.23.09.jpg (https://dl.airtable.com/4e7U4WggQHaBUT7fKl4w_camera.jpg),$150,$150
Yamaha Drum Kick,Musical Instrument,1,2018-05-17 17.23.57.jpg (https://dl.airtable.com/rjK1F2cERymlFufDA35F_camera.jpg),$25,$25
Fender Hot Rod Deluxe Limited Edition,Musical Instrument,1,2018-05-17 17.28.11.jpg (https://dl.airtable.com/gfUVOtoaSRiz9Z7cL3eT_camera.jpg),$500,$500
Gibson Les Paul Studio,Musical Instrument,1,2018-05-17 17.29.15.jpg (https://dl.airtable.com/3UHqB5qNRNa6DejKfAyH_camera.jpg),$500,$500
Alhambra Classical Guitar,Musical Instrument,1,2018-05-17 17.30.13.jpg (https://dl.airtable.com/RdwVeanVTiOFT2s4dioP_camera.jpg),$500,$500
Drum Cymbals and Bag,Musical Instrument,8,2018-05-17 17.33.27.jpg (https://dl.airtable.com/L7bPArbSlSbwfgkFWlQg_camera.jpg),$50,$400
Cowbell,Musical Instrument,1,2018-05-17 17.34.32.jpg (https://dl.airtable.com/488ChYH2SyeNOqsaHKaS_camera.jpg),$5,$5
All Brass Snare Drum,Musical Instrument,1,2018-05-17 17.35.27.jpg (https://dl.airtable.com/AyL88bF4TKKR5wkWToRS_camera.jpg),$300,$300
Drumming Practice Pad Tree,Musical Instrument,1,2018-05-17 20.11.01.jpg (https://dl.airtable.com/Evn1EsV8SK6CMAdfMqIY_camera.jpg),$75,$75
Drum Practice Pads,Musical Instrument,5,2018-05-18 14.29.25.jpg (https://dl.airtable.com/hTOz3mleQLOmges700vQ_camera.jpg),$5,$25
Bongos,Musical Instrument,1,2018-05-18 14.45.31.jpg (https://dl.airtable.com/VYFKTKWT1G91KJiYAKDc_camera.jpg),$40,$40
Arabic Guitar,Musical Instrument,1,2018-05-18 14.46.08.jpg (https://dl.airtable.com/0EHxMz2xSbe4IZGnM4q8_camera.jpg),$40,$40
Classic Guitar Foot Stool,Musical Instrument,1,2018-05-18 15.09.10.jpg (https://dl.airtable.com/LKUxfpVQTDa4AsE1ykc4_camera.jpg),$10,$10
Viola,Musical Instrument,1,2018-05-18 15.23.22.jpg (https://dl.airtable.com/taAVKkakS7KewSQfeJuc_camera.jpg),$900,$900
Guitar Wall Hooks,Musical Instrument,2,2018-05-18 15.25.39.jpg (https://dl.airtable.com/mqYDJuAjR1KLiqV5lRJG_camera.jpg),$25,$50
Drum Hardware Stands,Musical Instrument,13,2018-05-18 15.30.53.jpg (https://dl.airtable.com/OBd3W3GyRdqnSGjDS8dA_camera.jpg),$20,$260
Sri Lankan Drum,Musical Instrument,1,2018-05-18 15.33.53.jpg (https://dl.airtable.com/73lfDR02RuySKlPRMyrt_camera.jpg),$20,$20
Tripod,Photography,1,2018-05-17 16.16.20.jpg (https://dl.airtable.com/Vrl78swGRgWVtkpvLfmB_camera.jpg),$40,$40
Photography Case,Photography,1,2018-05-17 16.19.22.jpg (https://dl.airtable.com/IQba3rsNQrucMLkNsBlM_camera.jpg),$25,$25
