Neighbourhood Description (Occurrence),UCR Violation Type Group (Incident),Incident Reported Year,Incident Reported Quarter,Incident Reported Month,# Incidents
WEBBER GREENS,Assault,2012,Q3,8,1
WEBBER GREENS,Assault,2012,Q3,9,1
WEBBER GREENS,Assault,2012,Q4,10,1
WEBBER GREENS,Break and Enter,2012,Q2,4,2
WEBBER GREENS,Break and Enter,2012,Q2,5,1
WEBBER GREENS,Break and Enter,2012,Q3,8,1
WEBBER GREENS,Theft From Vehicle,2012,Q3,9,3
WEDGEWOOD HEIGHTS,Break and Enter,2012,Q1,1,1
WEDGEWOOD HEIGHTS,Break and Enter,2012,Q4,10,1
WEDGEWOOD HEIGHTS,Break and Enter,2012,Q4,12,1
WEDGEWOOD HEIGHTS,Theft From Vehicle,2012,Q2,6,2
WEDGEWOOD HEIGHTS,Theft From Vehicle,2012,Q3,8,4
WEDGEWOOD HEIGHTS,Theft From Vehicle,2012,Q3,9,2
WEDGEWOOD HEIGHTS,Theft From Vehicle,2012,Q4,12,1
WEINLOS,Assault,2012,Q1,2,2
WEINLOS,Assault,2012,Q1,3,2
WEINLOS,Assault,2012,Q2,4,1
WEINLOS,Assault,2012,Q2,5,2
WEINLOS,Assault,2012,Q2,6,1
WEINLOS,Assault,2012,Q3,7,1
WEINLOS,Assault,2012,Q4,11,1
WEINLOS,Assault,2012,Q4,12,1
WEINLOS,Break and Enter,2012,Q2,4,2
WEINLOS,Break and Enter,2012,Q2,5,2
WEINLOS,Break and Enter,2012,Q4,10,1
WEINLOS,Sexual Assaults,2012,Q1,3,1
WEINLOS,Sexual Assaults,2012,Q2,5,1
WEINLOS,Sexual Assaults,2012,Q2,6,1
WEINLOS,Sexual Assaults,2012,Q3,7,1
WEINLOS,Sexual Assaults,2012,Q3,8,1
WEINLOS,Sexual Assaults,2012,Q3,9,1
WEINLOS,Sexual Assaults,2012,Q4,10,1
WEINLOS,Theft From Vehicle,2012,Q1,3,1
WEINLOS,Theft From Vehicle,2012,Q2,5,1
WEINLOS,Theft From Vehicle,2012,Q2,6,2
WEINLOS,Theft From Vehicle,2012,Q3,7,4
WEINLOS,Theft From Vehicle,2012,Q3,9,2
WEINLOS,Theft From Vehicle,2012,Q4,12,1
WEINLOS,Theft Of Vehicle,2012,Q2,4,1
WEINLOS,Theft Of Vehicle,2012,Q2,5,2
WEINLOS,Theft Of Vehicle,2012,Q2,6,3
WEINLOS,Theft Of Vehicle,2012,Q4,10,3
WEINLOS,Theft Of Vehicle,2012,Q4,12,1
WEIR INDUSTRIAL,Assault,2012,Q1,1,1
WEIR INDUSTRIAL,Assault,2012,Q2,5,1
WEIR INDUSTRIAL,Assault,2012,Q4,12,1
WEIR INDUSTRIAL,Break and Enter,2012,Q1,2,2
WEIR INDUSTRIAL,Break and Enter,2012,Q2,4,1
WEIR INDUSTRIAL,Break and Enter,2012,Q2,5,2
WEIR INDUSTRIAL,Break and Enter,2012,Q2,6,2
WEIR INDUSTRIAL,Break and Enter,2012,Q3,8,1
WEIR INDUSTRIAL,Break and Enter,2012,Q3,9,2
WEIR INDUSTRIAL,Break and Enter,2012,Q4,10,4
WEIR INDUSTRIAL,Break and Enter,2012,Q4,12,1
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q1,1,2
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q1,3,1
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q2,6,1
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q3,7,5
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q3,8,2
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q3,9,1
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q4,10,2
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q4,11,1
WEIR INDUSTRIAL,Theft From Vehicle,2012,Q4,12,2
WEIR INDUSTRIAL,Theft Of Vehicle,2012,Q2,4,1
WEIR INDUSTRIAL,Theft Of Vehicle,2012,Q3,7,3
WEIR INDUSTRIAL,Theft Of Vehicle,2012,Q4,10,1
WEIR INDUSTRIAL,Theft Of Vehicle,2012,Q4,12,1
WEIR INDUSTRIAL,Theft Over $5000,2012,Q3,9,2
WELLINGTON,Assault,2012,Q1,2,2
WELLINGTON,Assault,2012,Q1,3,2
WELLINGTON,Assault,2012,Q2,5,1
WELLINGTON,Assault,2012,Q2,6,1
WELLINGTON,Assault,2012,Q3,7,1
WELLINGTON,Assault,2012,Q3,8,2
WELLINGTON,Assault,2012,Q3,9,2
WELLINGTON,Assault,2012,Q4,10,4
WELLINGTON,Assault,2012,Q4,11,1
WELLINGTON,Assault,2012,Q4,12,2
WELLINGTON,Break and Enter,2012,Q1,3,2
WELLINGTON,Break and Enter,2012,Q2,4,1
WELLINGTON,Break and Enter,2012,Q2,5,3
WELLINGTON,Break and Enter,2012,Q2,6,1
WELLINGTON,Break and Enter,2012,Q3,7,3
WELLINGTON,Break and Enter,2012,Q4,10,3
WELLINGTON,Break and Enter,2012,Q4,12,2
WELLINGTON,Robbery,2012,Q1,1,1
WELLINGTON,Robbery,2012,Q1,2,1
WELLINGTON,Robbery,2012,Q1,3,1
WELLINGTON,Robbery,2012,Q2,6,1
WELLINGTON,Sexual Assaults,2012,Q1,2,1
WELLINGTON,Sexual Assaults,2012,Q3,8,1
WELLINGTON,Theft From Vehicle,2012,Q1,1,1
WELLINGTON,Theft From Vehicle,2012,Q1,3,1
WELLINGTON,Theft From Vehicle,2012,Q2,4,2
WELLINGTON,Theft From Vehicle,2012,Q2,5,2
WELLINGTON,Theft From Vehicle,2012,Q2,6,1
WELLINGTON,Theft From Vehicle,2012,Q3,7,8
WELLINGTON,Theft From Vehicle,2012,Q3,8,5
WELLINGTON,Theft From Vehicle,2012,Q4,10,2
WELLINGTON,Theft From Vehicle,2012,Q4,11,1
WELLINGTON,Theft From Vehicle,2012,Q4,12,3
WELLINGTON,Theft Of Vehicle,2012,Q1,1,2
WELLINGTON,Theft Of Vehicle,2012,Q1,3,2
WELLINGTON,Theft Of Vehicle,2012,Q2,5,3
WELLINGTON,Theft Of Vehicle,2012,Q2,6,1
WELLINGTON,Theft Of Vehicle,2012,Q3,7,2
WELLINGTON,Theft Of Vehicle,2012,Q4,10,2
WELLINGTON,Theft Of Vehicle,2012,Q4,11,2
WEST JASPER PLACE,Assault,2012,Q1,1,4
WEST JASPER PLACE,Assault,2012,Q1,2,5
WEST JASPER PLACE,Assault,2012,Q1,3,3
WEST JASPER PLACE,Assault,2012,Q2,4,2
WEST JASPER PLACE,Assault,2012,Q2,5,7
WEST JASPER PLACE,Assault,2012,Q2,6,2
WEST JASPER PLACE,Assault,2012,Q3,7,6
WEST JASPER PLACE,Assault,2012,Q3,8,2
WEST JASPER PLACE,Assault,2012,Q3,9,2
WEST JASPER PLACE,Assault,2012,Q4,10,5
WEST JASPER PLACE,Assault,2012,Q4,11,1
WEST JASPER PLACE,Assault,2012,Q4,12,1
WEST JASPER PLACE,Break and Enter,2012,Q1,1,1
WEST JASPER PLACE,Break and Enter,2012,Q1,3,2
WEST JASPER PLACE,Break and Enter,2012,Q2,4,3
WEST JASPER PLACE,Break and Enter,2012,Q2,5,2
WEST JASPER PLACE,Break and Enter,2012,Q2,6,1
WEST JASPER PLACE,Break and Enter,2012,Q3,7,3
WEST JASPER PLACE,Break and Enter,2012,Q3,8,3
WEST JASPER PLACE,Break and Enter,2012,Q3,9,1
WEST JASPER PLACE,Break and Enter,2012,Q4,10,2
WEST JASPER PLACE,Break and Enter,2012,Q4,11,2
WEST JASPER PLACE,Break and Enter,2012,Q4,12,1
WEST JASPER PLACE,Robbery,2012,Q1,1,2
WEST JASPER PLACE,Robbery,2012,Q1,2,1
WEST JASPER PLACE,Robbery,2012,Q2,6,1
WEST JASPER PLACE,Robbery,2012,Q3,9,2
WEST JASPER PLACE,Robbery,2012,Q4,10,2
WEST JASPER PLACE,Theft From Vehicle,2012,Q1,1,1
WEST JASPER PLACE,Theft From Vehicle,2012,Q2,4,2
WEST JASPER PLACE,Theft From Vehicle,2012,Q2,5,5
WEST JASPER PLACE,Theft From Vehicle,2012,Q2,6,4
WEST JASPER PLACE,Theft From Vehicle,2012,Q3,7,4
WEST JASPER PLACE,Theft From Vehicle,2012,Q3,8,4
WEST JASPER PLACE,Theft From Vehicle,2012,Q3,9,2
WEST JASPER PLACE,Theft From Vehicle,2012,Q4,10,2
WEST JASPER PLACE,Theft From Vehicle,2012,Q4,11,3
WEST JASPER PLACE,Theft From Vehicle,2012,Q4,12,1
WEST JASPER PLACE,Theft Of Vehicle,2012,Q1,2,2
WEST JASPER PLACE,Theft Of Vehicle,2012,Q1,3,3
WEST JASPER PLACE,Theft Of Vehicle,2012,Q2,4,5
WEST JASPER PLACE,Theft Of Vehicle,2012,Q2,5,1
WEST JASPER PLACE,Theft Of Vehicle,2012,Q2,6,2
WEST JASPER PLACE,Theft Of Vehicle,2012,Q3,8,3
WEST JASPER PLACE,Theft Of Vehicle,2012,Q3,9,1
WEST JASPER PLACE,Theft Of Vehicle,2012,Q4,11,1
WEST JASPER PLACE,Theft Over $5000,2012,Q3,9,2
WEST MEADOWLARK PARK,Assault,2012,Q1,1,5
WEST MEADOWLARK PARK,Assault,2012,Q1,2,2
WEST MEADOWLARK PARK,Assault,2012,Q1,3,2
WEST MEADOWLARK PARK,Assault,2012,Q2,4,2
WEST MEADOWLARK PARK,Assault,2012,Q2,5,5
WEST MEADOWLARK PARK,Assault,2012,Q2,6,2
WEST MEADOWLARK PARK,Assault,2012,Q3,7,2
WEST MEADOWLARK PARK,Assault,2012,Q3,8,2
WEST MEADOWLARK PARK,Assault,2012,Q3,9,4
WEST MEADOWLARK PARK,Assault,2012,Q4,10,2
WEST MEADOWLARK PARK,Assault,2012,Q4,11,2
WEST MEADOWLARK PARK,Assault,2012,Q4,12,4
WEST MEADOWLARK PARK,Break and Enter,2012,Q1,3,2
WEST MEADOWLARK PARK,Break and Enter,2012,Q2,5,1
WEST MEADOWLARK PARK,Break and Enter,2012,Q3,7,3
WEST MEADOWLARK PARK,Break and Enter,2012,Q3,9,1
WEST MEADOWLARK PARK,Break and Enter,2012,Q4,12,1
WEST MEADOWLARK PARK,Robbery,2012,Q3,9,1
WEST MEADOWLARK PARK,Sexual Assaults,2012,Q1,1,1
WEST MEADOWLARK PARK,Sexual Assaults,2012,Q2,5,4
WEST MEADOWLARK PARK,Sexual Assaults,2012,Q4,10,1
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q1,1,1
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q1,3,2
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q2,4,1
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q2,5,1
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q2,6,1
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q3,7,2
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q3,8,5
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q3,9,1
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q4,10,2
WEST MEADOWLARK PARK,Theft From Vehicle,2012,Q4,12,1
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q1,2,1
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q1,3,2
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q2,4,1
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q2,5,1
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q2,6,1
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q3,7,1
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q3,8,2
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q4,10,1
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q4,11,2
WEST MEADOWLARK PARK,Theft Of Vehicle,2012,Q4,12,3
WEST SHEFFIELD INDUSTRIAL,Assault,2012,Q2,4,1
WEST SHEFFIELD INDUSTRIAL,Break and Enter,2012,Q1,3,1
WEST SHEFFIELD INDUSTRIAL,Break and Enter,2012,Q4,10,1
WEST SHEFFIELD INDUSTRIAL,Theft From Vehicle,2012,Q1,2,1
WEST SHEFFIELD INDUSTRIAL,Theft From Vehicle,2012,Q1,3,1
WEST SHEFFIELD INDUSTRIAL,Theft From Vehicle,2012,Q2,5,1
WEST SHEFFIELD INDUSTRIAL,Theft From Vehicle,2012,Q3,8,3
WEST SHEFFIELD INDUSTRIAL,Theft From Vehicle,2012,Q3,9,1
WEST SHEFFIELD INDUSTRIAL,Theft From Vehicle,2012,Q4,10,1
WEST SHEFFIELD INDUSTRIAL,Theft Of Vehicle,2012,Q2,4,1
WEST SHEFFIELD INDUSTRIAL,Theft Of Vehicle,2012,Q3,8,1
WEST SHEFFIELD INDUSTRIAL,Theft Over $5000,2012,Q3,8,2
WESTBROOK ESTATES,Assault,2012,Q2,5,1
WESTBROOK ESTATES,Assault,2012,Q4,10,1
WESTBROOK ESTATES,Break and Enter,2012,Q1,1,1
WESTBROOK ESTATES,Break and Enter,2012,Q1,2,1
WESTBROOK ESTATES,Break and Enter,2012,Q3,7,3
WESTBROOK ESTATES,Break and Enter,2012,Q3,9,1
WESTBROOK ESTATES,Break and Enter,2012,Q4,11,1
WESTBROOK ESTATES,Robbery,2012,Q1,2,1
WESTBROOK ESTATES,Theft From Vehicle,2012,Q1,2,1
WESTBROOK ESTATES,Theft From Vehicle,2012,Q3,9,1
WESTBROOK ESTATES,Theft From Vehicle,2012,Q4,12,1
WESTMOUNT,Assault,2012,Q1,1,1
WESTMOUNT,Assault,2012,Q1,2,1
WESTMOUNT,Assault,2012,Q1,3,3
WESTMOUNT,Assault,2012,Q2,4,4
WESTMOUNT,Assault,2012,Q2,5,5
WESTMOUNT,Assault,2012,Q2,6,3
WESTMOUNT,Assault,2012,Q3,7,2
WESTMOUNT,Assault,2012,Q3,8,3
WESTMOUNT,Assault,2012,Q3,9,8
WESTMOUNT,Assault,2012,Q4,10,2
WESTMOUNT,Assault,2012,Q4,11,2
WESTMOUNT,Assault,2012,Q4,12,6
WESTMOUNT,Break and Enter,2012,Q1,1,5
WESTMOUNT,Break and Enter,2012,Q1,2,1
WESTMOUNT,Break and Enter,2012,Q1,3,2
WESTMOUNT,Break and Enter,2012,Q2,4,2
WESTMOUNT,Break and Enter,2012,Q2,5,3
WESTMOUNT,Break and Enter,2012,Q2,6,5
WESTMOUNT,Break and Enter,2012,Q3,7,5
WESTMOUNT,Break and Enter,2012,Q3,8,8
WESTMOUNT,Break and Enter,2012,Q3,9,9
WESTMOUNT,Break and Enter,2012,Q4,10,17
WESTMOUNT,Break and Enter,2012,Q4,11,6
WESTMOUNT,Break and Enter,2012,Q4,12,12
WESTMOUNT,Robbery,2012,Q1,1,1
WESTMOUNT,Robbery,2012,Q1,3,2
WESTMOUNT,Robbery,2012,Q2,6,2
WESTMOUNT,Robbery,2012,Q3,8,1
WESTMOUNT,Robbery,2012,Q3,9,3
WESTMOUNT,Robbery,2012,Q4,10,1
WESTMOUNT,Sexual Assaults,2012,Q1,3,1
WESTMOUNT,Sexual Assaults,2012,Q2,5,1
WESTMOUNT,Sexual Assaults,2012,Q3,7,1
WESTMOUNT,Sexual Assaults,2012,Q3,9,1
WESTMOUNT,Theft From Vehicle,2012,Q1,1,5
WESTMOUNT,Theft From Vehicle,2012,Q1,2,3
WESTMOUNT,Theft From Vehicle,2012,Q1,3,3
WESTMOUNT,Theft From Vehicle,2012,Q2,4,1
WESTMOUNT,Theft From Vehicle,2012,Q2,5,3
WESTMOUNT,Theft From Vehicle,2012,Q2,6,1
WESTMOUNT,Theft From Vehicle,2012,Q3,7,10
WESTMOUNT,Theft From Vehicle,2012,Q3,8,8
WESTMOUNT,Theft From Vehicle,2012,Q3,9,2
WESTMOUNT,Theft From Vehicle,2012,Q4,10,5
WESTMOUNT,Theft From Vehicle,2012,Q4,11,4
WESTMOUNT,Theft From Vehicle,2012,Q4,12,8
WESTMOUNT,Theft Of Vehicle,2012,Q1,1,2
WESTMOUNT,Theft Of Vehicle,2012,Q1,3,1
WESTMOUNT,Theft Of Vehicle,2012,Q2,5,3
WESTMOUNT,Theft Of Vehicle,2012,Q2,6,5
WESTMOUNT,Theft Of Vehicle,2012,Q3,7,4
WESTMOUNT,Theft Of Vehicle,2012,Q3,8,1
WESTMOUNT,Theft Of Vehicle,2012,Q4,10,1
WESTMOUNT,Theft Of Vehicle,2012,Q4,11,2
WESTMOUNT,Theft Of Vehicle,2012,Q4,12,8
WESTMOUNT,Theft Over $5000,2012,Q3,8,1
WESTRIDGE,Assault,2012,Q4,10,1
WESTRIDGE,Break and Enter,2012,Q2,6,1
WESTRIDGE,Break and Enter,2012,Q3,7,1
WESTRIDGE,Break and Enter,2012,Q4,12,1
WESTRIDGE,Theft From Vehicle,2012,Q2,6,1
WESTRIDGE,Theft From Vehicle,2012,Q3,7,4
WESTRIDGE,Theft From Vehicle,2012,Q3,8,2
WESTRIDGE,Theft From Vehicle,2012,Q4,12,2
WESTVIEW VILLAGE,Assault,2012,Q1,1,1
WESTVIEW VILLAGE,Assault,2012,Q1,2,1
WESTVIEW VILLAGE,Assault,2012,Q1,3,1
WESTVIEW VILLAGE,Assault,2012,Q2,6,1
WESTVIEW VILLAGE,Assault,2012,Q3,7,4
WESTVIEW VILLAGE,Assault,2012,Q4,10,1
WESTVIEW VILLAGE,Assault,2012,Q4,12,1
WESTVIEW VILLAGE,Break and Enter,2012,Q1,2,2
WESTVIEW VILLAGE,Break and Enter,2012,Q2,4,1
WESTVIEW VILLAGE,Break and Enter,2012,Q3,7,1
WESTVIEW VILLAGE,Theft From Vehicle,2012,Q1,2,1
WESTVIEW VILLAGE,Theft From Vehicle,2012,Q2,5,1
WESTVIEW VILLAGE,Theft From Vehicle,2012,Q3,9,1
WESTVIEW VILLAGE,Theft From Vehicle,2012,Q4,10,3
WESTVIEW VILLAGE,Theft From Vehicle,2012,Q4,11,4
WESTVIEW VILLAGE,Theft Of Vehicle,2012,Q1,1,1
WESTVIEW VILLAGE,Theft Of Vehicle,2012,Q1,3,1
WESTVIEW VILLAGE,Theft Of Vehicle,2012,Q2,5,1
WESTVIEW VILLAGE,Theft Of Vehicle,2012,Q3,7,1
WESTVIEW VILLAGE,Theft Of Vehicle,2012,Q4,10,1
WESTVIEW VILLAGE,Theft Of Vehicle,2012,Q4,11,1
WESTWOOD,Assault,2012,Q1,1,4
WESTWOOD,Assault,2012,Q1,2,4
WESTWOOD,Assault,2012,Q1,3,1
WESTWOOD,Assault,2012,Q2,4,3
WESTWOOD,Assault,2012,Q2,5,1
WESTWOOD,Assault,2012,Q2,6,2
WESTWOOD,Assault,2012,Q3,7,4
WESTWOOD,Assault,2012,Q3,8,6
WESTWOOD,Assault,2012,Q3,9,5
WESTWOOD,Assault,2012,Q4,10,5
WESTWOOD,Assault,2012,Q4,11,1
WESTWOOD,Assault,2012,Q4,12,3
WESTWOOD,Break and Enter,2012,Q1,1,10
WESTWOOD,Break and Enter,2012,Q1,2,2
WESTWOOD,Break and Enter,2012,Q1,3,2
WESTWOOD,Break and Enter,2012,Q2,4,1
WESTWOOD,Break and Enter,2012,Q2,5,1
WESTWOOD,Break and Enter,2012,Q2,6,3
WESTWOOD,Break and Enter,2012,Q3,7,4
WESTWOOD,Break and Enter,2012,Q3,8,2
WESTWOOD,Break and Enter,2012,Q3,9,3
WESTWOOD,Break and Enter,2012,Q4,10,7
WESTWOOD,Break and Enter,2012,Q4,11,1
WESTWOOD,Break and Enter,2012,Q4,12,4
WESTWOOD,Robbery,2012,Q1,2,2
WESTWOOD,Robbery,2012,Q1,3,3
WESTWOOD,Robbery,2012,Q2,6,1
WESTWOOD,Robbery,2012,Q3,7,2
WESTWOOD,Robbery,2012,Q3,8,1
WESTWOOD,Robbery,2012,Q3,9,1
WESTWOOD,Robbery,2012,Q4,12,3
WESTWOOD,Sexual Assaults,2012,Q1,3,1
WESTWOOD,Sexual Assaults,2012,Q2,5,1
WESTWOOD,Sexual Assaults,2012,Q4,12,1
WESTWOOD,Theft From Vehicle,2012,Q1,1,7
WESTWOOD,Theft From Vehicle,2012,Q1,2,5
WESTWOOD,Theft From Vehicle,2012,Q1,3,2
WESTWOOD,Theft From Vehicle,2012,Q2,4,2
WESTWOOD,Theft From Vehicle,2012,Q2,5,3
WESTWOOD,Theft From Vehicle,2012,Q2,6,6
WESTWOOD,Theft From Vehicle,2012,Q3,7,2
WESTWOOD,Theft From Vehicle,2012,Q3,8,3
WESTWOOD,Theft From Vehicle,2012,Q3,9,4
WESTWOOD,Theft From Vehicle,2012,Q4,10,10
WESTWOOD,Theft From Vehicle,2012,Q4,11,3
WESTWOOD,Theft From Vehicle,2012,Q4,12,3
WESTWOOD,Theft Of Vehicle,2012,Q1,1,7
WESTWOOD,Theft Of Vehicle,2012,Q1,2,1
WESTWOOD,Theft Of Vehicle,2012,Q1,3,2
WESTWOOD,Theft Of Vehicle,2012,Q2,4,2
WESTWOOD,Theft Of Vehicle,2012,Q2,5,1
WESTWOOD,Theft Of Vehicle,2012,Q2,6,3
WESTWOOD,Theft Of Vehicle,2012,Q3,7,3
WESTWOOD,Theft Of Vehicle,2012,Q3,8,3
WESTWOOD,Theft Of Vehicle,2012,Q3,9,2
WESTWOOD,Theft Of Vehicle,2012,Q4,10,1
WESTWOOD,Theft Of Vehicle,2012,Q4,11,1
WESTWOOD,Theft Of Vehicle,2012,Q4,12,1
WESTWOOD,Theft Over $5000,2012,Q1,1,1
WHITE INDUSTRIAL,Assault,2012,Q1,1,1
WHITE INDUSTRIAL,Assault,2012,Q3,7,2
WHITE INDUSTRIAL,Assault,2012,Q3,8,1
WHITE INDUSTRIAL,Break and Enter,2012,Q2,6,1
WHITE INDUSTRIAL,Break and Enter,2012,Q4,12,1
WHITE INDUSTRIAL,Theft From Vehicle,2012,Q1,3,1
WHITE INDUSTRIAL,Theft Of Vehicle,2012,Q4,10,2
WHITE INDUSTRIAL,Theft Over $5000,2012,Q2,4,1
WHITE INDUSTRIAL,Theft Over $5000,2012,Q3,7,1
WHITEMUD CREEK RAVINE NORTH,Theft From Vehicle,2012,Q1,1,1
WHITEMUD CREEK RAVINE NORTH,Theft From Vehicle,2012,Q1,3,1
WHITEMUD CREEK RAVINE NORTH,Theft Of Vehicle,2012,Q3,7,1
WILD ROSE,Assault,2012,Q1,1,3
WILD ROSE,Assault,2012,Q1,2,1
WILD ROSE,Assault,2012,Q2,4,2
WILD ROSE,Assault,2012,Q2,5,1
WILD ROSE,Assault,2012,Q2,6,1
WILD ROSE,Assault,2012,Q3,7,2
WILD ROSE,Assault,2012,Q4,10,2
WILD ROSE,Assault,2012,Q4,11,1
WILD ROSE,Assault,2012,Q4,12,3
WILD ROSE,Break and Enter,2012,Q1,2,2
WILD ROSE,Break and Enter,2012,Q1,3,3
WILD ROSE,Break and Enter,2012,Q2,4,3
WILD ROSE,Break and Enter,2012,Q2,5,9
WILD ROSE,Break and Enter,2012,Q2,6,2
WILD ROSE,Break and Enter,2012,Q3,8,5
WILD ROSE,Break and Enter,2012,Q3,9,1
WILD ROSE,Break and Enter,2012,Q4,10,2
WILD ROSE,Theft From Vehicle,2012,Q1,1,2
WILD ROSE,Theft From Vehicle,2012,Q1,3,2
WILD ROSE,Theft From Vehicle,2012,Q2,4,1
WILD ROSE,Theft From Vehicle,2012,Q2,5,1
WILD ROSE,Theft From Vehicle,2012,Q2,6,2
WILD ROSE,Theft From Vehicle,2012,Q3,7,2
WILD ROSE,Theft From Vehicle,2012,Q3,8,5
WILD ROSE,Theft From Vehicle,2012,Q3,9,7
WILD ROSE,Theft From Vehicle,2012,Q4,10,1
WILD ROSE,Theft From Vehicle,2012,Q4,11,2
WILD ROSE,Theft Of Vehicle,2012,Q1,2,1
WILD ROSE,Theft Of Vehicle,2012,Q2,6,2
WILD ROSE,Theft Of Vehicle,2012,Q3,9,1
WILD ROSE,Theft Of Vehicle,2012,Q4,10,2
WILD ROSE,Theft Of Vehicle,2012,Q4,11,1
WILD ROSE,Theft Over $5000,2012,Q3,9,1
WILSON INDUSTRIAL,Assault,2012,Q3,7,1
WILSON INDUSTRIAL,Break and Enter,2012,Q1,1,1
WILSON INDUSTRIAL,Break and Enter,2012,Q3,9,1
WILSON INDUSTRIAL,Break and Enter,2012,Q4,10,1
WILSON INDUSTRIAL,Theft From Vehicle,2012,Q1,1,4
WILSON INDUSTRIAL,Theft From Vehicle,2012,Q1,2,1
WILSON INDUSTRIAL,Theft From Vehicle,2012,Q2,4,1
WILSON INDUSTRIAL,Theft From Vehicle,2012,Q2,6,1
WILSON INDUSTRIAL,Theft From Vehicle,2012,Q3,9,1
WILSON INDUSTRIAL,Theft From Vehicle,2012,Q4,10,2
WILSON INDUSTRIAL,Theft From Vehicle,2012,Q4,11,1
WILSON INDUSTRIAL,Theft Of Vehicle,2012,Q1,2,2
WILSON INDUSTRIAL,Theft Of Vehicle,2012,Q2,4,1
WILSON INDUSTRIAL,Theft Of Vehicle,2012,Q2,5,1
WILSON INDUSTRIAL,Theft Over $5000,2012,Q1,3,1
WILSON INDUSTRIAL,Theft Over $5000,2012,Q4,12,1
WINDERMERE,Assault,2012,Q3,9,1
WINDERMERE,Break and Enter,2012,Q2,4,2
WINDERMERE,Break and Enter,2012,Q2,5,1
WINDERMERE,Break and Enter,2012,Q3,7,2
WINDERMERE,Break and Enter,2012,Q3,8,2
WINDERMERE,Robbery,2012,Q1,3,1
WINDERMERE,Theft From Vehicle,2012,Q1,2,1
WINDERMERE,Theft From Vehicle,2012,Q1,3,1
WINDERMERE,Theft From Vehicle,2012,Q2,4,2
WINDERMERE,Theft From Vehicle,2012,Q3,8,2
WINDERMERE,Theft From Vehicle,2012,Q4,10,1
WINDERMERE,Theft From Vehicle,2012,Q4,11,3
WINDERMERE,Theft From Vehicle,2012,Q4,12,3
WINDERMERE,Theft Of Vehicle,2012,Q1,1,1
WINDERMERE,Theft Of Vehicle,2012,Q2,5,1
WINDERMERE,Theft Of Vehicle,2012,Q4,10,1
WINDERMERE,Theft Of Vehicle,2012,Q4,11,1
WINDERMERE,Theft Over $5000,2012,Q4,12,2
WINDSOR PARK,Assault,2012,Q2,5,1
WINDSOR PARK,Assault,2012,Q3,9,1
WINDSOR PARK,Break and Enter,2012,Q1,1,1
WINDSOR PARK,Break and Enter,2012,Q1,2,1
WINDSOR PARK,Break and Enter,2012,Q1,3,9
WINDSOR PARK,Break and Enter,2012,Q2,4,2
WINDSOR PARK,Break and Enter,2012,Q2,6,1
WINDSOR PARK,Break and Enter,2012,Q3,7,5
WINDSOR PARK,Break and Enter,2012,Q3,8,1
WINDSOR PARK,Break and Enter,2012,Q4,11,1
WINDSOR PARK,Theft From Vehicle,2012,Q1,3,4
WINDSOR PARK,Theft From Vehicle,2012,Q2,4,1
WINDSOR PARK,Theft From Vehicle,2012,Q3,7,1
WINDSOR PARK,Theft From Vehicle,2012,Q3,9,1
WINDSOR PARK,Theft From Vehicle,2012,Q4,10,3
WINDSOR PARK,Theft Of Vehicle,2012,Q1,3,2
WINDSOR PARK,Theft Of Vehicle,2012,Q4,10,1
WINDSOR PARK,Theft Of Vehicle,2012,Q4,11,1
WINTERBURN INDUSTRIAL AREA EAST,Assault,2012,Q1,3,1
WINTERBURN INDUSTRIAL AREA EAST,Assault,2012,Q2,6,1
WINTERBURN INDUSTRIAL AREA EAST,Assault,2012,Q3,7,1
WINTERBURN INDUSTRIAL AREA EAST,Break and Enter,2012,Q1,2,2
WINTERBURN INDUSTRIAL AREA EAST,Break and Enter,2012,Q1,3,4
WINTERBURN INDUSTRIAL AREA EAST,Break and Enter,2012,Q2,4,2
