Neighbourhood ID,Neighbourhood,Animal/Insect Type,Status Code,Status Description,Created Date,Completed Date,Issue Date,Number of Hens,Neighbours Informed,Registered with Provincial APICult,Nbhd Centre Latitude,Nbhd Centre Longitude,Nbhd Centre Geo Location
2440,Klarvatten,Bees,ISSUED,Issued,05/29/2017 08:27:41 AM,06/06/2017 12:32:07 PM,06/06/2017 12:00:00 AM,,Y,Y,53.63722,-113.47672,"(53.637224730986524, -113.47671578038211)"
2320,Hairsine,Hens,ISSUED,Issued,08/31/2016 05:38:47 PM,09/01/2016 01:48:02 PM,09/01/2016 12:00:00 AM,5,Y,N,53.60368,-113.38972,"(53.603675954428965, -113.38972075948551)"
5010,Allendale,Hens,ISSUED,Issued,04/28/2016 08:26:40 AM,08/08/2016 03:04:58 PM,08/08/2016 12:00:00 AM,3,Y,N,53.50229,-113.50482,"(53.50229282517935, -113.50482116295773)"
5642,South Terwillegar,Bees,ISSUED,Issued,05/12/2015 08:56:46 PM,05/15/2015 11:34:24 AM,05/15/2015 12:00:00 AM,,Y,Y,53.44023,-113.57902,"(53.440231798863046, -113.57902105126114)"
4070,Callingwood North,Bees,ISSUED,Issued,04/22/2016 02:20:06 PM,04/25/2016 06:07:04 PM,04/25/2016 12:00:00 AM,,Y,Y,53.50757,-113.62303,"(53.50757437536733, -113.62302532131962)"
2030,Bannerman,Hens,ISSUED,Issued,04/28/2016 08:21:48 AM,08/10/2016 03:03:53 PM,08/10/2016 12:00:00 AM,6,Y,N,53.60393,-113.37865,"(53.60392714000134, -113.37864928309097)"
5320,Pleasantview,Bees,ISSUED,Issued,04/11/2017 12:40:41 PM,04/26/2017 08:51:15 AM,04/26/2017 12:00:00 AM,,Y,Y,53.49318,-113.50712,"(53.49318018561233, -113.507116596)"
3330,Parkview,Bees,ISSUED,Issued,06/10/2015 11:28:58 AM,07/14/2015 07:44:16 AM,07/14/2015 12:00:00 AM,,Y,Y,53.52406,-113.56789,"(53.52406400115492, -113.56789426478038)"
5320,Pleasantview,Hens,ISSUED,Issued,04/28/2016 08:39:06 AM,07/14/2016 02:58:43 PM,07/14/2016 12:00:00 AM,5,Y,N,53.49318,-113.50712,"(53.49318018561233, -113.507116596)"
2070,Belmont,Bees,ISSUED,Issued,04/18/2016 01:46:20 PM,04/25/2016 05:48:00 PM,04/25/2016 12:00:00 AM,,Y,Y,53.59397,-113.39374,"(53.59397157739329, -113.39373635814033)"
3310,North Glenora,Hens,ISSUED,Issued,04/28/2016 08:29:58 AM,01/17/2017 10:35:17 AM,01/17/2017 12:00:00 AM,5,Y,N,53.55495,-113.55826,"(53.554947960393555, -113.55826488479815)"
2390,Kernohan,Bees,ISSUED,Issued,05/02/2016 12:46:00 PM,10/23/2017 10:09:22 AM,10/23/2017 12:00:00 AM,6,Y,Y,53.58946,-113.38031,"(53.58946364338944, -113.38031269979747)"
2340,Hollick-Kenyon,Bees,ISSUED,Issued,05/17/2016 06:46:00 PM,05/31/2016 01:06:13 PM,05/31/2016 12:00:00 AM,,Y,Y,53.62224,-113.42232,"(53.62224497002261, -113.42231558564797)"
5642,South Terwillegar,Hens,CANCEL,Cancelled,04/28/2016 08:31:22 AM,06/29/2016 05:29:35 PM,06/29/2016 12:00:00 AM,5,Y,N,53.44023,-113.57902,"(53.440231798863046, -113.57902105126114)"
1210,Riverdale,Bees,ISSUED,Issued,03/24/2017 05:28:42 PM,05/31/2017 01:32:58 PM,05/31/2017 12:00:00 AM,,Y,Y,53.54407,-113.46899,"(53.54407041090096, -113.46899402862239)"
6390,Larkspur,Bees,ISSUED,Issued,04/25/2016 11:00:12 AM,04/25/2016 06:16:53 PM,04/25/2016 12:00:00 AM,,Y,Y,53.48015,-113.38124,"(53.48015149606623, -113.38123847033486)"
6061,Capilano,Bees,ISSUED,Issued,05/21/2017 06:37:14 PM,06/28/2017 05:09:23 PM,06/28/2017 12:00:00 AM,,Y,Y,53.55465,-113.42278,"(53.554645683010186, -113.42277556278047)"
5230,Henderson Estates,Bees,ISSUED,Issued,07/19/2015 02:39:16 PM,07/20/2015 12:08:52 PM,07/20/2015 12:00:00 AM,,Y,Y,53.46760,-113.59739,"(53.467604501007095, -113.59739074283685)"
2560,Newton,Hens,INQUEU,In Queue,04/28/2016 09:49:05 AM,,,6,Y,N,53.57629,-113.42513,"(53.576288318720806, -113.42512820186064)"
6360,King Edward Park,Bees,ISSUED,Issued,04/25/2017 09:09:27 AM,05/31/2017 03:52:39 PM,05/31/2017 12:00:00 AM,,Y,Y,53.51516,-113.45063,"(53.51516193312055, -113.45062583260703)"
6290,Hazeldean,Bees,ISSUED,Issued,11/02/2015 07:41:38 PM,11/23/2015 01:14:39 PM,11/23/2015 12:00:00 AM,,Y,Y,53.50419,-113.47789,"(53.50418528831584, -113.4778890044809)"
2040,Beacon Heights,Hens,ISSUED,Issued,09/28/2016 08:06:17 PM,10/17/2016 02:45:26 PM,10/17/2016 12:00:00 AM,7,Y,N,53.57353,-113.40604,"(53.57353309911853, -113.40604017904667)"
5570,Windermere,Bees,ISSUED,Issued,06/11/2017 04:35:18 PM,06/15/2017 12:26:01 PM,06/15/2017 12:00:00 AM,,Y,Y,53.43259,-113.62604,"(53.432585054620894, -113.62604014979185)"
1230,Spruce Avenue,Bees,ISSUED,Issued,06/01/2015 10:37:09 PM,06/02/2015 02:35:29 PM,06/02/2015 12:00:00 AM,,Y,Y,53.56463,-113.50198,"(53.564628558724735, -113.50197643546596)"
1090,Downtown,Bees,ISSUED,Issued,05/28/2015 04:13:58 PM,06/09/2015 08:20:36 AM,06/09/2015 12:00:00 AM,,Y,Y,53.54088,-113.49924,"(53.54087526522481, -113.49924372443897)"
5330,Queen Alexandra,Bees,ISSUED,Issued,05/29/2015 03:13:56 PM,06/01/2015 10:51:40 AM,06/01/2015 12:00:00 AM,,Y,Y,53.51233,-113.50485,"(53.512332235513746, -113.50484705945289)"
5340,Ramsay Heights,Bees,CANCEL,Cancelled,06/16/2016 03:27:08 PM,03/22/2017 03:38:56 PM,,,Y,Y,53.48336,-113.58022,"(53.48336181504562, -113.5802152080962)"
6040,Bonnie Doon,Bees,ISSUED,Issued,03/23/2016 01:52:58 PM,04/25/2016 05:10:33 PM,04/25/2016 12:00:00 AM,,Y,Y,53.52377,-113.46729,"(53.523768960098934, -113.46729006225169)"
6230,Forest Heights,Bees,ISSUED,Issued,09/04/2015 12:22:16 PM,09/08/2015 02:48:32 PM,09/08/2015 12:00:00 AM,,Y,Y,53.54454,-113.45127,"(53.54454288129852, -113.45126745011648)"
5080,Brander Gardens,Bees,ISSUED,Issued,05/29/2017 11:23:12 PM,05/31/2017 05:18:32 PM,05/31/2017 12:00:00 AM,,Y,Y,53.49367,-113.57813,"(53.4936711704896, -113.5781274505455)"
5250,Keheewin,Hens,ISSUED,Issued,09/12/2016 06:22:24 AM,10/25/2016 01:36:13 PM,,4,Y,N,53.45027,-113.50451,"(53.450270481502606, -113.5045134621976)"
4720,Glastonbury,Bees,ISSUED,Issued,03/08/2016 07:08:33 PM,04/25/2016 04:47:45 PM,04/25/2016 12:00:00 AM,,Y,Y,53.50320,-113.66989,"(53.50319644152369, -113.66989495602267)"
3270,Laurier Heights,Bees,CANCEL,Cancelled,11/18/2016 07:24:16 PM,11/29/2016 01:24:39 PM,,,Y,Y,53.51425,-113.56933,"(53.51424671570046, -113.56933226321841)"
6230,Forest Heights,Bees,ISSUED,Issued,04/13/2016 03:48:44 PM,04/25/2016 05:34:46 PM,04/25/2016 12:00:00 AM,,Y,Y,53.54454,-113.45127,"(53.54454288129852, -113.45126745011648)"
6230,Forest Heights,Bees,ISSUED,Issued,04/13/2016 03:48:44 PM,04/25/2016 05:34:46 PM,04/25/2016 12:00:00 AM,,Y,Y,53.54454,-113.45127,"(53.54454288129852, -113.45126745011648)"
5040,Belgravia,Bees,ISSUED,Issued,03/06/2017 07:42:07 AM,03/22/2017 11:00:36 AM,03/22/2017 12:00:00 AM,,Y,Y,53.51223,-113.53276,"(53.51223371649437, -113.53276435676035)"
1180,Queen Mary Park,Bees,ISSUED,Issued,05/23/2016 09:22:21 AM,05/31/2016 01:02:57 PM,05/31/2016 12:00:00 AM,,Y,Y,53.55333,-113.51965,"(53.55332765166594, -113.51965427365344)"
5462,Chappelle Area,Bees,ISSUED,Issued,05/04/2016 02:57:35 PM,05/17/2016 04:44:03 PM,05/17/2016 12:00:00 AM,,Y,Y,53.40292,-113.58692,"(53.40292425520648, -113.5869178917687)"
6150,Daly Grove,Bees,ISSUED,Issued,05/29/2017 10:21:15 PM,06/01/2017 09:20:20 AM,06/01/2017 12:00:00 AM,,Y,Y,53.44955,-113.40160,"(53.44954876233334, -113.40159781028866)"
5642,South Terwillegar,Hens,ISSUED,Issued,09/12/2016 02:02:26 PM,09/16/2016 12:04:58 PM,09/16/2016 12:00:00 AM,6,Y,N,53.44023,-113.57902,"(53.440231798863046, -113.57902105126114)"
3440,Westmount,Bees,ISSUED,Issued,08/25/2015 12:15:54 PM,07/07/2016 04:31:39 PM,07/07/2016 12:00:00 AM,,Y,Y,53.55167,-113.54112,"(53.551671762229795, -113.54112241012324)"
2720,York,Bees,CANCEL,Cancelled,04/13/2017 10:10:08 PM,04/19/2017 02:02:58 PM,,,Y,Y,53.60290,-113.43021,"(53.602895378014146, -113.43020574343895)"
6370,Kiniski Gardens,Bees,ISSUED,Issued,06/23/2016 01:50:30 PM,06/28/2016 07:33:54 AM,06/28/2016 12:00:00 AM,,Y,Y,53.47481,-113.40352,"(53.47480588482717, -113.40351643758787)"
4360,Oleskiw,Hens,INQUEU,In Queue,04/28/2016 04:35:44 PM,,,4,Y,N,53.49621,-113.60447,"(53.49621227854868, -113.60447202500848)"
6290,Hazeldean,Bees,ISSUED,Issued,07/24/2016 12:14:39 PM,07/25/2016 08:51:07 AM,07/25/2016 12:00:00 AM,,Y,Y,53.50419,-113.47789,"(53.50418528831584, -113.4778890044809)"
1010,Alberta Avenue,Bees,ISSUED,Issued,11/07/2016 08:42:57 PM,11/22/2017 02:51:06 PM,,8,Y,Y,53.56848,-113.48517,"(53.568479070121306, -113.48516811504452)"
2280,Fraser,Hens,ISSUED,Issued,04/28/2016 08:33:59 AM,08/18/2016 10:23:00 AM,08/18/2016 12:00:00 AM,3,Y,N,53.61121,-113.36978,"(53.61120506312749, -113.36978447542182)"
2230,Delwood,Bees,ISSUED,Issued,10/19/2017 03:38:38 PM,12/04/2017 12:49:18 PM,12/04/2017 12:00:00 AM,,Y,Y,53.59594,-113.45513,"(53.59593671822719, -113.45513078354243)"
2100,Beverly Heights,Bees,ISSUED,Issued,10/11/2017 10:49:54 AM,12/04/2017 01:27:20 PM,12/04/2017 12:00:00 AM,,Y,Y,53.56651,-113.40607,"(53.566514917420214, -113.4060678802253)"
2070,Belmont,Hens,ISSUED,Issued,04/28/2016 08:24:06 AM,08/18/2016 10:37:57 AM,12/18/2017 12:00:00 AM,7,Y,N,53.59397,-113.39374,"(53.59397157739329, -113.39373635814033)"
6320,Idylwylde,Bees,ISSUED,Issued,11/26/2017 12:46:47 PM,12/04/2017 01:18:30 PM,12/04/2017 12:00:00 AM,,Y,Y,53.52161,-113.44911,"(53.521613207275095, -113.44911376690581)"
1130,Elmwood Park,Bees,ISSUED,Issued,12/04/2017 09:39:56 PM,12/05/2017 12:17:25 PM,12/05/2017 12:00:00 AM,,Y,Y,53.57959,-113.46094,"(53.579588701087985, -113.46094200098248)"
4474,Starling,Bees,ISSUED,Issued,12/02/2017 03:05:56 PM,12/04/2017 01:01:48 PM,12/04/2017 12:00:00 AM,,Y,Y,53.59224,-113.65782,"(53.59224321038255, -113.65782409630505)"
6300,Hillview,Bees,ISSUED,Issued,10/25/2017 12:01:55 PM,12/04/2017 12:29:33 PM,12/04/2017 12:00:00 AM,,Y,Y,53.46974,-113.42709,"(53.46973758816532, -113.4270935738733)"
5310,Parkallen,Hens,ISSUED,Issued,04/28/2016 08:22:32 AM,07/10/2017 02:44:20 PM,07/10/2017 12:00:00 AM,4,Y,N,53.50333,-113.51824,"(53.503333894692844, -113.51824294080778)"
3270,Laurier Heights,Bees,CANCEL,Cancelled,11/18/2016 07:24:21 PM,11/29/2016 01:15:25 PM,11/29/2016 12:00:00 AM,,Y,Y,53.51425,-113.56933,"(53.51424671570046, -113.56933226321841)"
4360,Oleskiw,Hens,INQUEU,In Queue,01/02/2018 02:04:51 PM,,,6,Y,N,53.49621,-113.60447,"(53.49621227854868, -113.60447202500848)"
