,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,filter_level,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,timestamp_ms,truncated,user
54,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/#!/download/ipad""",RT @JusticeRanger1: @realDonaldTrump @Pudingta...,,,
55,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @AIIAmericanGirI: VIDEO=&gt; Anti-Trump Pro...,,,
56,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://linkis.com""",Susan Sarandon Shares Interesting Opinion on D...,,,
57,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @RedheadAndRight: Report: Secret Service Sa...,,,
58,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",@jbrading dude you are annoying af. Deion sand...,,,
59,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/#!/download/ipad""",RT @JusticeRanger1: @realDonaldTrump @Pudingta...,,,
60,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @Schneider_CM: Trump says nobody had ever h...,,,
61,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @RonBasler1: @DavidWhitDennis @realDonaldTr...,,,
62,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://linkis.com""",Susan Sarandon Shares Interesting Opinion on D...,,,
63,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",@realDonaldTrump Its too bad Cruz doesn't have...,,,
64,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @DonaldsAngel: Former Ms. WI just said that...,,,
65,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://rutracker.org/forum/viewforum....",Photo: #Donald #Trump #Protest in #Milwaukee a...,,,
66,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @Schneider_CM: Trump says nobody had ever h...,,,
67,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",@jbrading dude you are annoying af. Deion sand...,,,
68,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @DonaldsAngel: Former Ms. WI just said that...,,,
69,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://rutracker.org/forum/viewforum....",Photo: #Donald #Trump #Protest in #Milwaukee a...,,,
70,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/#!/download/ipad""","RT @Dodarey: @DR8801 @SykesCharlie Charlie, le...",,,
71,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @RonBasler1: @DavidWhitDennis @realDonaldTr...,,,
72,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @RockCliffOne: Remember when the idea of a ...,,,
73,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""","RT @HillaryClinton: ""Every day, another Republ...",,,
74,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",@realDonaldTrump @MELANIATRUMP Get Them Good M...,,,
75,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",@realDonaldTrump Its too bad Cruz doesn't have...,,,
76,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",I just saw this. I'm speechless.  https://t.co...,,,
77,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/#!/download/ipad""","RT @Dodarey: @DR8801 @SykesCharlie Charlie, le...",,,
