NAME,Neighbourhood ID,Neighbourhood Name,LATITUDE,LONGITUDE,LOCATION
Chappelle Park,5462,Chappelle Area,53.399405,-113.572084,"(53.39933306997709, -113.57186551458997)"
Dechene Playground,4110,Dechene,53.491429,-113.637013,"(53.491305166897206, -113.63696154030333)"
Mcleod Park,2530,McLeod,53.609659,-113.430920,"(53.60958990714867, -113.43126016412859)"
Lauderdale Playground,3260,Lauderdale,53.588642,-113.503331,"(53.58870306853201, -113.50330200922556)"
Castle Downs Park,3180,Dunluce,53.616831,-113.525533,"(53.616786408418825, -113.52545276187605)"
Coronation,3310,North Glenora,53.555334,-113.560621,"(53.5554363641336, -113.5605197255409)"
Sacred Heart School,1140,McCauley,53.554548,-113.486563,"(53.55459606536529, -113.48683502376585)"
Pleasantview Sch,5320,Pleasantview,53.494989,-113.504170,"(53.494922534317574, -113.50398909434236)"
Steinhauer School,5470,Steinhauer,53.464668,-113.504646,"(53.46451178899272, -113.50458982089937)"
Monsignor Walter Fitzgerald Playground,4270,Lymburn,53.505338,-113.635276,"(53.505427266717625, -113.6351332813297)"
Chappelle Rope Climber,5462,Chappelle Area,53.404037,-113.569974,"(53.40397076311171, -113.57000995341537)"
Jackson Heights Park,6330,Jackson Heights,53.483365,-113.407638,"(53.48325659245543, -113.40767673447169)"
Woodcroft Tot Lot,3450,Woodcroft,53.567797,-113.555859,"(53.56774328424804, -113.55585478696716)"
Bonnie Doon Park,6040,Bonnie Doon,53.527389,-113.470266,"(53.52750865970828, -113.47029080882538)"
Abbott School,2010,Abbottsfield,53.574913,-113.392086,"(53.57477790966841, -113.39199321406531)"
Sheriff Robertson Park,1190,River Valley Kinnaird,53.559169,-113.466366,"(53.55909632451777, -113.4663523536835)"
Miller Park,2541,Miller,53.612813,-113.416087,"(53.612752013704025, -113.41597831262958)"
Highlands Playground,2330,Highlands,53.566695,-113.433369,"(53.56659219504195, -113.43350898212275)"
Allendale School,5010,Allendale,53.500923,-113.502801,"(53.50092223324022, -113.5027186435588)"
Rossdale,1220,Rossdale,53.530764,-113.491297,"(53.530620880436786, -113.49147121114504)"
Glenora Playground,3200,Glenora,53.546365,-113.557095,"(53.54647347516695, -113.5569368331547)"
Allin Park,4180,Glenwood,53.532628,-113.595778,"(53.53256206572379, -113.59562092131716)"
,3430,Wellington,53.596765,-113.560055,"(53.596759005048916, -113.55998106930103)"
Garneau School West,5200,Garneau,53.522187,-113.514041,"(53.52212743223131, -113.51410748894858)"
Nu-west Park,6460,Meyokumin,53.451684,-113.423905,"(53.45163300455957, -113.42378645920924)"
Sifton School Park,2710,Sifton Park,53.594124,-113.409379,"(53.59413867589751, -113.40957088819673)"
Grad's Park Playground,3440,Westmount,53.555866,-113.531347,"(53.5557905114057, -113.53134740954206)"
Sifton Park Elementary School,2710,Sifton Park,53.594097,-113.407540,"(53.594033499730145, -113.40742854747148)"
Grandin School,1150,Oliver,53.536991,-113.511658,"(53.53706964793642, -113.51157334972116)"
Leger School,5630,Leger,53.459180,-113.576806,"(53.45925580992677, -113.57672363216783)"
Nor'wester Athletic Association Playground,6661,Charlesworth,53.425795,-113.409596,"(53.425719081979125, -113.40949924015793)"
Wedgewood Heights Playground,4570,Wedgewood Heights,53.480151,-113.647152,"(53.48015185003072, -113.647296045161)"
Ormsby,4380,Ormsby Place,53.498892,-113.639234,"(53.49883427871977, -113.63905380904791)"
Edmonton Chris,3300,McQueen,53.556069,-113.567873,"(53.55598538952886, -113.56804166985556)"
Granite Park,5200,Garneau,53.522522,-113.507642,"(53.522555823529785, -113.50770832706745)"
St. Dominic School,2530,McLeod,53.605891,-113.433586,"(53.60593127741181, -113.43376886666081)"
Duggan Community League Playground,5160,Duggan,53.473300,-113.506321,"(53.473121171377905, -113.5062169895015)"
